"","address","housetype","totalprice","averageprice","floorspace","floor","age","parkingspace"
"11","
                                士林區中山北路五段811巷31-60號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                3,880萬
                                                (含車位250萬)
                            ","
                                77.9萬
                            ","
57.47坪
                                        
                                                    (含車位10.86坪)
                            ","
6~6/8                            ","
25.7年
                            ","
有                            "
"12","
                                北投區中央北路一段179巷1-30號
                                    
                                    格局：2房(室)1廳1衛","
                                    華廈
                            ","
                                1,110萬
                                                (含車位150萬)
                            ","
                                49.8萬
                            ","
29.23坪
                                        
                                                    (含車位9.95坪)
                            ","
6~6/10                            ","
19.5年
                            ","
有                            "
"13","
                                內湖區成功路四段30巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,000萬","
                                58.9萬
                            ","
33.97坪
                            ","
2~2/10                            ","
22.0年
                            ","
無                            "
"14","
                                中正區汀州路二段255巷5弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                1,950萬","
                                55.4萬
                            ","
35.20坪
                            ","
6~6/7                            ","
32.1年
                            ","
無                            "
"15","
                                文山區新光路一段32巷4弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                720萬","
                                38.9萬
                            ","
18.49坪
                            ","
3~3/4                            ","
39.1年
                            ","
無                            "
"16","
                                信義區瑞雲街1-30號
                                    
                                    格局：1房(室)1廳1衛","
公寓                            ","
                                1,180萬","
                                42.4萬
                            ","
27.82坪
                            ","
2~2/4                            ","
20.0年
                            ","
無                            "
"17","
                                信義區信義路五段91-120號
                                    
                                    格局：1房(室)1廳1衛","
大樓                            ","
                                1,520萬","
                                105.3萬
                            ","
14.43坪
                            ","
5~5/19                            ","
7.0年
                            ","
無                            "
"18","
                                松山區敦化北路4巷31-60號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：3房(室)1廳1衛)
                            ","
公寓                            ","
                                2,010萬","
                                67.5萬
                            ","
29.76坪
                            ","
5~5/5                            ","
38.9年
                            ","
無                            "
"19","
                                松山區敦化北路331-360號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                3,900萬","
                                100.7萬
                            ","
38.72坪
                            ","
7~7/12                            ","
32.5年
                            ","
無                            "
"20","
                                內湖區金龍路222巷1-30號
                                    
                                    格局：1房(室)1廳1衛","
大樓                            ","
                                612萬","
                                54.1萬
                            ","
11.31坪
                            ","
4~4/12                            ","
22.6年
                            ","
無                            "
"21","
                                信義區和平東路三段435巷1-30號
                                    
                                    格局：5房(室)0廳5衛
                                        (加蓋格局：3房(室)3廳2衛)
                            ","
大樓                            ","
                                2,080萬","
                                67.1萬
                            ","
30.98坪
                            ","
7~7/7                            ","
30.6年
                            ","
無                            "
"22","
                                內湖區內湖路一段661-690號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                2,265萬
                                                (含車位250萬)
                            ","
                                78.2萬
                            ","
37.77坪
                                        
                                                    (含車位12.00坪)
                            ","
16~16/18                            ","
5.5年
                            ","
有                            "
"23","
                                內湖區成功路五段450巷21弄1-30號
                                    
                                    格局：2房(室)2廳2衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
大樓                            ","
                                3,900萬
                                                (含車位)
                            ","
                                67.0萬
                            ","
58.17坪
                                        
                                                    (含車位坪數)
                            ","
1~2/14                            ","
16.9年
                            ","
有                            "
"24","
                                文山區興隆路四段29巷4弄
                                    
                                    格局：2房(室)1廳1衛","
公寓                            ","
                                950萬","
                                46.4萬
                            ","
20.49坪
                            ","
2~0/4                            ","
38.6年
                            ","
無                            "
"25","
                                中山區龍江路397巷31-60號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,663萬","
                                52.2萬
                            ","
31.86坪
                            ","
3~3/5                            ","
36.8年
                            ","
無                            "
"26","
                                內湖區五分街72巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                2,450萬
                                                (含車位250萬)
                            ","
                                62.1萬
                            ","
45.81坪
                                        
                                                    (含車位10.36坪)
                            ","
10~10/12                            ","
8.7年
                            ","
有                            "
"27","
                                文山區木柵路四段159巷151-180號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                790萬","
                                27.9萬
                            ","
28.33坪
                            ","
5~5/5                            ","
35.3年
                            ","
無                            "
"28","
                                內湖區內湖路一段387巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                6,188萬
                                                (含車位500萬)
                            ","
                                82.5萬
                            ","
89.97坪
                                        
                                                    (含車位21.03坪)
                            ","
9~9/14                            ","
4.5年
                            ","
有                            "
"29","
                                中山區錦州街175巷1-30號
                                    
                                    格局：1房(室)3廳2衛
                                        (加蓋格局：2房(室)2廳0衛)
                            ","
公寓                            ","
                                3,280萬","
                                47.6萬
                            ","
68.89坪
                            ","
-1~1/5                            ","
35.0年
                            ","
無                            "
"30","
                                文山區興隆路三段207巷16弄1-30號
                                    
                                    格局：3房(室)2廳2.5衛
                                        (加蓋格局：0房(室)1廳0衛)
                            ","
公寓                            ","
                                777萬","
                                20.1萬
                            ","
38.59坪
                            ","
5~5/5                            ","
31.8年
                            ","
無                            "
"31","
                                內湖區成功路三段174巷17弄1-30號
                                    
                                    格局：4房(室)2廳2.5衛","
大樓                            ","
                                2,606萬","
                                49.8萬
                            ","
52.30坪
                            ","
11~12/12                            ","
26.6年
                            ","
無                            "
"32","
                                文山區指南路二段45巷31-60號
                                    
                                    格局：4房(室)2廳1衛","
公寓                            ","
                                1,050萬","
                                36.5萬
                            ","
28.77坪
                            ","
4~4/4                            ","
39.4年
                            ","
無                            "
"33","
                                萬華區漢中街1-30號
                                    
                                    格局：2房(室)1廳1衛","
                                    華廈
                            ","
                                930萬","
                                56.8萬
                            ","
16.38坪
                            ","
6~6/9                            ","
37.9年
                            ","
無                            "
"34","
                                南港區忠孝東路六段278巷22弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                940萬","
                                52.4萬
                            ","
17.93坪
                            ","
2~2/3                            ","
43.7年
                            ","
無                            "
"35","
                                北投區同德街44巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,350萬","
                                42.0萬
                            ","
32.14坪
                            ","
3~3/5                            ","
31.7年
                            ","
無                            "
"36","
                                內湖區文湖街21巷98弄1-30號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
套房                            ","
                                668萬","
                                45.9萬
                            ","
14.56坪
                            ","
3~3/8                            ","
8.3年
                            ","
無                            "
"37","
                                內湖區文湖街21巷94弄1-30號
                                    
                                    格局：2房(室)1廳1衛","
                                    華廈
                            ","
                                692萬","
                                44.5萬
                            ","
15.55坪
                            ","
2~2/5                            ","
21.9年
                            ","
無                            "
"38","
                                中山區新生北路三段61-90號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,500萬
                                                (含車位150萬)
                            ","
                                56.1萬
                            ","
47.76坪
                                        
                                                    (含車位5.86坪)
                            ","
3~3/9                            ","
1.6年
                            ","
有                            "
"39","
                                中山區中山北路二段93巷1-30號
                                    
                                    格局：0房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳1衛)
                            ","
套房                            ","
                                1,175萬","
                                91.1萬
                            ","
12.90坪
                            ","
6~6/12                            ","
10.9年
                            ","
無                            "
"40","
                                內湖區新富街31-60號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                5,275萬
                                                (含車位500萬)
                            ","
                                61.2萬
                            ","
99.01坪
                                        
                                                    (含車位21.03坪)
                            ","
2~2/13                            ","
6.4年
                            ","
有                            "
"41","
                                士林區至誠路二段1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,700萬","
                                44.3萬
                            ","
38.38坪
                            ","
4~4/5                            ","
33.8年
                            ","
無                            "
"42","
                                文山區羅斯福路六段241-270號
                                    
                                    格局：6房(室)0廳6衛","
公寓                            ","
                                1,650萬","
                                43.0萬
                            ","
38.34坪
                            ","
4~4/5                            ","
37.2年
                            ","
無                            "
"43","
                                大同區重慶北路一段1-30號
                                    
                                    格局：2房(室)2廳2衛","
大樓                            ","
                                1,320萬","
                                53.7萬
                            ","
24.59坪
                            ","
5~5/12                            ","
35.4年
                            ","
無                            "
"44","
                                北投區大度路三段301巷128弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                938萬","
                                34.4萬
                            ","
27.25坪
                            ","
3~3/5                            ","
27.8年
                            ","
無                            "
"45","
                                北投區永興路一段31-60號
                                    
                                    格局：0房(室)0廳0衛","
公寓                            ","
                                1,380萬","
                                58.8萬
                            ","
23.47坪
                            ","
1~1/5                            ","
38.6年
                            ","
無                            "
"46","
                                文山區新光路一段
                                    
                                    格局：2房(室)0廳2衛","
公寓                            ","
                                1,150萬","
                                56.4萬
                            ","
20.38坪
                            ","
4~0/4                            ","
38.3年
                            ","
無                            "
"47","
                                南港區興中路44巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                2,250萬","
                                89.8萬
                            ","
25.06坪
                            ","
2~2/5                            ","
39.9年
                            ","
無                            "
"48","
                                中山區合江街91-120號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,510萬","
                                56.8萬
                            ","
26.58坪
                            ","
3~3/4                            ","
45.6年
                            ","
無                            "
"49","
                                萬華區西藏路241-270號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                758萬","
                                43.9萬
                            ","
17.28坪
                            ","
2~2/4                            ","
40.1年
                            ","
無                            "
"50","
                                北投區關渡路31-60號
                                    
                                    格局：3房(室)2廳3衛","
大樓                            ","
                                5,505萬
                                                (含車位500萬)
                            ","
                                66.5萬
                            ","
102.78坪
                                        
                                                    (含車位27.52坪)
                            ","
10~10/27                            ","
3.9年
                            ","
有                            "
"51","
                                文山區興隆路三段181巷61-90號
                                    
                                    格局：0房(室)0廳4衛","
透天                            ","
                                4,050萬
                                                (含車位400萬)
                            ","
                                41.0萬
                            ","
135.26坪
                                        
                                                    (含車位46.33坪)
                            ","
1~4/12                            ","
4.7年
                            ","
有                            "
"52","
                                萬華區昆明街201巷1弄1-30號
                                    
                                    格局：0房(室)0廳1衛","
公寓                            ","
                                650萬","
                                27.5萬
                            ","
23.64坪
                            ","
-1~1/4                            ","
36.1年
                            ","
無                            "
"53","
                                北投區致遠一路一段10巷12弄1-30號
                                    
                                    格局：4房(室)2廳1.5衛","
公寓                            ","
                                1,430萬","
                                44.8萬
                            ","
31.94坪
                            ","
2~2/4                            ","
40.7年
                            ","
無                            "
"54","
                                中山區林森北路85巷61-90號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
套房                            ","
                                538萬","
                                73.0萬
                            ","
7.37坪
                            ","
5~5/7                            ","
8.9年
                            ","
無                            "
"55","
                                士林區天母東路61巷1-30號
                                    
                                    格局：2房(室)2廳2衛","
公寓                            ","
                                1,650萬","
                                61.3萬
                            ","
26.91坪
                            ","
3~3/5                            ","
20.7年
                            ","
無                            "
"56","
                                北投區大興街31-60號
                                    
                                    格局：3房(室)2廳1衛","
大樓                            ","
                                1,928萬
                                                (含車位200萬)
                            ","
                                54.4萬
                            ","
42.40坪
                                        
                                                    (含車位10.66坪)
                            ","
3~3/12                            ","
3.6年
                            ","
有                            "
"57","
                                萬華區貴陽街二段61-90號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                1,408萬","
                                43.2萬
                            ","
32.61坪
                            ","
4~4/9                            ","
30.9年
                            ","
無                            "
"58","
                                大安區復興南路二段125巷20弄1-30號
                                    
                                    格局：3房(室)2廳1衛
                                        (加蓋格局：0房(室)1廳0衛)
                            ","
公寓                            ","
                                1,480萬","
                                66.7萬
                            ","
22.20坪
                            ","
2~2/4                            ","
44.8年
                            ","
無                            "
"59","
                                文山區萬壽路17巷1-30號
                                    
                                    格局：1房(室)1廳1衛","
                                    華廈
                            ","
                                1,620萬
                                                (含車位)
                            ","
                                43.4萬
                            ","
37.34坪
                                        
                                                    (含車位坪數)
                            ","
5~0/10                            ","
3.3年
                            ","
有                            "
"60","
                                大安區潮州街60巷10弄1-30號
                                    
                                    格局：1房(室)0廳1衛","
套房                            ","
                                818萬","
                                101.4萬
                            ","
8.07坪
                            ","
4~4/6                            ","
9.2年
                            ","
無                            "
"61","
                                文山區萬安街44巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
大樓                            ","
                                1,150萬","
                                40.2萬
                            ","
28.60坪
                            ","
3~3/12                            ","
32.9年
                            ","
無                            "
"62","
                                中山區敬業二路69巷31-60號
                                    
                                    格局：0房(室)1廳1衛","
套房                            ","
                                880萬","
                                69.1萬
                            ","
12.74坪
                            ","
10~10/10                            ","
8.5年
                            ","
無                            "
"63","
                                內湖區安康路434巷20弄1-30號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳1衛)
                            ","
                                    華廈
                            ","
                                1,070萬","
                                48.0萬
                            ","
22.28坪
                            ","
2~2/6                            ","
18.9年
                            ","
無                            "
"64","
                                萬華區萬青街121-150號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                410萬","
                                43.5萬
                            ","
9.43坪
                            ","
4~4/5                            ","
41.2年
                            ","
無                            "
"65","
                                文山區萬壽路61-90號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                540萬
                                                (含車位80萬)
                            ","
                                36.6萬
                            ","
15.91坪
                                        
                                                    (含車位3.33坪)
                            ","
1~1/5                            ","
8.6年
                            ","
有                            "
"66","
                                信義區虎林街120巷91-120號
                                    
                                    格局：1房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
                                    華廈
                            ","
                                1,460萬
                                                (含車位150萬)
                            ","
                                68.3萬
                            ","
23.00坪
                                        
                                                    (含車位3.82坪)
                            ","
3~3/8                            ","
10.2年
                            ","
有                            "
"67","
                                內湖區港華街91-120號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                1,390萬
                                                (含車位150萬)
                            ","
                                67.6萬
                            ","
25.43坪
                                        
                                                    (含車位7.10坪)
                            ","
6~6/10                            ","
4.1年
                            ","
有                            "
"68","
                                文山區木新路二段218巷31-60號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                856萬","
                                39.5萬
                            ","
21.67坪
                            ","
2~2/5                            ","
36.5年
                            ","
無                            "
"69","
                                中山區新生北路二段61-90號
                                    
                                    格局：1房(室)1廳1衛","
大樓                            ","
                                782萬","
                                51.8萬
                            ","
15.11坪
                            ","
11~11/12                            ","
44.3年
                            ","
無                            "
"70","
                                內湖區大湖山莊街23巷1-30號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：2房(室)0廳0衛)
                            ","
公寓                            ","
                                666萬
                                                (含車位)
                            ","
                                37.3萬
                            ","
17.86坪
                                        
                                                    (含車位坪數)
                            ","
2~2/3                            ","
20.9年
                            ","
有                            "
"71","
                                大同區市民大道一段181-210號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                1,111萬","
                                42.4萬
                            ","
26.19坪
                            ","
15~15/18                            ","
7.0年
                            ","
無                            "
"72","
                                大安區忠孝東路四段31-60號
                                    
                                    格局：2房(室)2廳2衛","
大樓                            ","
                                3,200萬
                                                (含車位350萬)
                            ","
                                71.5萬
                            ","
48.51坪
                                        
                                                    (含車位8.67坪)
                            ","
6~6/12                            ","
38.8年
                            ","
有                            "
"73","
                                中正區廈門街81巷1-30號
                                    
                                    格局：1房(室)1廳1衛","
                                    華廈
                            ","
                                925萬","
                                54.5萬
                            ","
16.97坪
                            ","
3~3/10                            ","
18.9年
                            ","
無                            "
"74","
                                北投區中和街474巷2弄1-30號
                                    
                                    格局：4房(室)2廳1衛
                                        (加蓋格局：1房(室)1廳1衛)
                            ","
公寓                            ","
                                1,100萬","
                                42.6萬
                            ","
25.85坪
                            ","
4~4/4                            ","
41.6年
                            ","
無                            "
"75","
                                士林區延平北路五段136巷19弄31-60號
                                    
                                    格局：3房(室)1廳1衛
                                        (加蓋格局：0房(室)0廳1衛)
                            ","
公寓                            ","
                                660萬","
                                36.4萬
                            ","
18.15坪
                            ","
4~4/4                            ","
47.1年
                            ","
無                            "
"76","
                                大同區延平北路四段282巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,000萬","
                                35.3萬
                            ","
28.32坪
                            ","
3~3/5                            ","
35.0年
                            ","
無                            "
"77","
                                中正區汀州路二段181-210號
                            ","
店面                            ","
                                1,241萬","
                                63.3萬
                            ","
19.61坪
                            ","
-1~1/6                            ","
40.4年
                            ","
無                            "
"78","
                                信義區忠孝東路五段71巷12弄1-30號
                            ","
店面                            ","
                                3,465萬","
                                129.5萬
                            ","
26.75坪
                            ","
1~1/4                            ","
41.6年
                            ","
無                            "
"79","
                                中山區建國北路二段121-150號
                            ","
辦公                            ","
                                1,570萬","
                                56.4萬
                            ","
27.85坪
                            ","
10~10/14                            ","
33.9年
                            ","
無                            "
"80","
                                信義區永吉路30巷121-150號
                            ","
店面                            ","
                                3,600萬","
                                140.9萬
                            ","
25.55坪
                            ","
1~1/7                            ","
8.3年
                            ","
無                            "
"81","
                                松山區饒河街91-120號
                            ","
店面                            ","
                                9,570萬","
                                109.6萬
                            ","
87.31坪
                            ","
1~4/4                            ","
46.5年
                            ","
無                            "
"82","
                                中山區長安東路二段91-120號
                            ","
辦公                            ","
                                2,400萬","
                                57.4萬
                            ","
41.79坪
                            ","
11~11/12                            ","
31.0年
                            ","
無                            "
"83","
                                中正區羅斯福路二段181-210號
                            ","
店面                            ","
                                685萬","
                                132.2萬
                            ","
5.18坪
                            ","
1~1/12                            ","
28.4年
                            ","
無                            "
"84","
                                萬華區漢口街二段31-60號
                            ","
店面                            ","
                                5,150萬","
                                242.5萬
                            ","
21.24坪
                            ","
1~1/10                            ","
42.0年
                            ","
無                            "
"85","
                                萬華區華西街31-60號
                            ","
店面                            ","
                                3,250萬","
                                60.3萬
                            ","
53.94坪
                            ","
-1~1/7                            ","
34.5年
                            ","
無                            "
"86","
                                松山區光復南路22巷31-60號
                            ","
店面                            ","
                                3,250萬","
                                61.8萬
                            ","
52.57坪
                            ","
1~1/6                            ","
31.8年
                            ","
無                            "
"87","
                                中山區林森北路485巷1-30號
                            ","
店面                            ","
                                2,360萬","
                                71.8萬
                            ","
32.85坪
                            ","
1~1/7                            ","
37.9年
                            ","
無                            "
"88","
                                士林區福華路141巷1-30號
                            ","
店面                            ","
                                2,300萬","
                                128.8萬
                            ","
17.86坪
                            ","
1~1/4                            ","
43.9年
                            ","
無                            "
"89","
                                內湖區民權東路六段123巷34弄1-30號
                            ","
店面                            ","
                                2,120萬
                                                (含車位250萬)
                            ","
                                93.2萬
                            ","
31.27坪
                                        
                                                    (含車位11.20坪)
                            ","
1~1/13                            ","
8.0年
                            ","
有                            "
"90","
                                內湖區行善路333巷61-90號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                6,500萬
                                                (含車位500萬)
                            ","
                                73.7萬
                            ","
107.59坪
                                        
                                                    (含車位26.19坪)
                            ","
7~7/9                            ","
5.5年
                            ","
有                            "
"91","
                                大同區民生西路151-180號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,300萬
                                                (含車位150萬)
                            ","
                                52.4萬
                            ","
46.74坪
                                        
                                                    (含車位5.73坪)
                            ","
5~5/10                            ","
17.3年
                            ","
有                            "
"92","
                                萬華區中華路二段504巷1-30號
                                    
                                    格局：2房(室)1廳1衛
                                        (加蓋格局：2房(室)0廳0衛)
                            ","
大樓                            ","
                                805萬","
                                45.6萬
                            ","
17.66坪
                            ","
1~1/12                            ","
37.3年
                            ","
無                            "
"93","
                                文山區辛亥路六段61-90號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                2,168萬
                                                (含車位150萬)
                            ","
                                48.2萬
                            ","
47.79坪
                                        
                                                    (含車位5.94坪)
                            ","
4~4/7                            ","
8.7年
                            ","
有                            "
"94","
                                南港區福德街421-450號
                                    
                                    格局：3房(室)2廳1衛","
大樓                            ","
                                1,410萬","
                                36.3萬
                            ","
38.86坪
                            ","
12~12/18                            ","
18.0年
                            ","
無                            "
"95","
                                北投區光明路181-210號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
套房                            ","
                                400萬","
                                52.4萬
                            ","
7.63坪
                            ","
10~10/14                            ","
11.2年
                            ","
無                            "
"96","
                                南港區研究院路二段70巷17弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                950萬","
                                43.6萬
                            ","
21.77坪
                            ","
4~4/5                            ","
35.6年
                            ","
無                            "
"97","
                                北投區光明路241-270號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                850萬","
                                53.0萬
                            ","
16.05坪
                            ","
6~6/19                            ","
6.8年
                            ","
無                            "
"98","
                                內湖區內湖路二段103巷61-90號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                1,980萬","
                                61.4萬
                            ","
32.25坪
                            ","
4~4/12                            ","
33.5年
                            ","
無                            "
"99","
                                士林區延平北路六段176巷6弄1-30號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                850萬","
                                40.0萬
                            ","
21.27坪
                            ","
2~2/4                            ","
43.7年
                            ","
無                            "
"100","
                                內湖區成功路四段323巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,176萬","
                                43.8萬
                            ","
26.84坪
                            ","
5~5/5                            ","
34.5年
                            ","
無                            "
"101","
                                內湖區成功路四段223巷15弄1-30號
                                    
                                    格局：3房(室)2廳1.5衛","
公寓                            ","
                                1,360萬","
                                45.0萬
                            ","
30.19坪
                            ","
3~3/5                            ","
33.5年
                            ","
無                            "
"102","
                                文山區辛亥路四段21巷1-30號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                1,280萬","
                                47.1萬
                            ","
27.16坪
                            ","
4~4/15                            ","
20.8年
                            ","
無                            "
"103","
                                中山區林森北路571-600號
                                    
                                    格局：1房(室)1廳1衛","
大樓                            ","
                                2,150萬
                                                (含車位250萬)
                            ","
                                69.5萬
                            ","
39.19坪
                                        
                                                    (含車位11.85坪)
                            ","
5~5/13                            ","
4.8年
                            ","
有                            "
"104","
                                信義區莊敬路451-480號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,900萬","
                                69.7萬
                            ","
27.27坪
                            ","
4~4/4                            ","
42.0年
                            ","
無                            "
"105","
                                中山區南京東路二段181-210號
                                    
                                    格局：4房(室)2廳4衛","
大樓                            ","
                                8,800萬
                                                (含車位600萬)
                            ","
                                85.5萬
                            ","
115.60坪
                                        
                                                    (含車位19.72坪)
                            ","
13~13/15                            ","
6.1年
                            ","
有                            "
"106","
                                士林區德行東路132巷1弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,450萬","
                                59.1萬
                            ","
24.54坪
                            ","
4~4/5                            ","
34.1年
                            ","
無                            "
"107","
                                士林區雨農路61-90號
                                    
                                    格局：4房(室)2廳2衛","
大樓                            ","
                                2,708萬","
                                41.3萬
                            ","
65.57坪
                            ","
2~2/12                            ","
11.1年
                            ","
無                            "
"108","
                                文山區新光路一段95巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                1,040萬","
                                38.8萬
                            ","
26.77坪
                            ","
4~4/5                            ","
30.3年
                            ","
無                            "
"109","
                                北投區北投路一段61-90號
                                    
                                    格局：3房(室)2廳1衛","
大樓                            ","
                                2,130萬
                                                (含車位150萬)
                            ","
                                60.4萬
                            ","
36.68坪
                                        
                                                    (含車位3.88坪)
                            ","
8~8/13                            ","
6.6年
                            ","
有                            "
"110","
                                北投區新民路31-60號
                                    
                                    格局：1房(室)2廳1衛
                                        (加蓋格局：2房(室)2廳1衛)
                            ","
                                    華廈
                            ","
                                647萬
                                                (含車位120萬)
                            ","
                                52.7萬
                            ","
14.31坪
                                        
                                                    (含車位4.31坪)
                            ","
6~6/10                            ","
8.3年
                            ","
有                            "
"111","
                                信義區忠孝東路五段423巷3弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,850萬","
                                50.3萬
                            ","
36.81坪
                            ","
5~5/5                            ","
27.1年
                            ","
無                            "
"112","
                                信義區忠孝東路五段331-360號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
大樓                            ","
                                1,360萬","
                                112.2萬
                            ","
12.12坪
                            ","
8~8/11                            ","
10.9年
                            ","
無                            "
"113","
                                北投區文林北路1-30號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                3,200萬
                                                (含車位)
                            ","
                                58.6萬
                            ","
54.64坪
                                        
                                                    (含車位坪數)
                            ","
4~4/14                            ","
2.6年
                            ","
有                            "
"114","
                                內湖區金湖路331-360號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                840萬","
                                67.1萬
                            ","
12.51坪
                            ","
4~4/10                            ","
16.8年
                            ","
無                            "
"115","
                                北投區明德路333巷1-30號
                                    
                                    格局：3房(室)2廳1.5衛","
公寓                            ","
                                2,250萬","
                                68.9萬
                            ","
32.65坪
                            ","
1~1/4                            ","
43.3年
                            ","
無                            "
"116","
                                北投區明德路188巷1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                1,580萬","
                                55.3萬
                            ","
28.55坪
                            ","
3~3/4                            ","
39.4年
                            ","
無                            "
"117","
                                北投區明德路136巷6弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,450萬","
                                48.5萬
                            ","
29.89坪
                            ","
3~3/4                            ","
39.8年
                            ","
無                            "
"118","
                                內湖區陽光街92巷1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                1,630萬","
                                55.9萬
                            ","
29.17坪
                            ","
2~2/5                            ","
32.7年
                            ","
無                            "
"119","
                                大安區建國南路一段291巷1-30號
                                    
                                    格局：3房(室)2廳1.5衛","
大樓                            ","
                                2,735萬","
                                85.3萬
                            ","
32.06坪
                            ","
12~12/14                            ","
29.3年
                            ","
無                            "
"120","
                                大安區信義路四段265巷31-60號
                                    
                                    格局：2房(室)2廳1衛","
                                    華廈
                            ","
                                1,556萬","
                                80.7萬
                            ","
19.28坪
                            ","
3~3/7                            ","
36.4年
                            ","
無                            "
"121","
                                萬華區內江街121-150號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                3,150萬
                                                (含車位250萬)
                            ","
                                62.2萬
                            ","
59.40坪
                                        
                                                    (含車位12.76坪)
                            ","
7~7/18                            ","
1.3年
                            ","
有                            "
"122","
                                萬華區水源路181-210號
                                    
                                    格局：3房(室)2廳1.5衛","
大樓                            ","
                                1,650萬","
                                37.4萬
                            ","
44.13坪
                            ","
6~6/16                            ","
18.7年
                            ","
無                            "
"123","
                                萬華區西昌街151-180號
                                    
                                    格局：7房(室)0廳1衛","
公寓                            ","
                                815萬","
                                26.6萬
                            ","
30.60坪
                            ","
3~3/7                            ","
35.7年
                            ","
無                            "
"124","
                                中山區新生北路三段31-60號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                650萬","
                                48.5萬
                            ","
13.40坪
                            ","
3~3/12                            ","
35.2年
                            ","
無                            "
"125","
                                中山區新生北路三段1-30號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                540萬","
                                50.4萬
                            ","
10.71坪
                            ","
7~7/12                            ","
34.9年
                            ","
無                            "
