"","address","housetype","totalprice","averageprice","floorspace","floor","age","parkingspace"
"183","
                                內湖區環山路二段53巷6弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,300萬
                                                (含車位)
                            ","
                                53.6萬
                            ","
42.95坪
                                        
                                                    (含車位坪數)
                            ","
7~7/8                            ","
9.1年
                            ","
有                            "
"184","
                                萬華區西寧南路91-120號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                2,038萬","
                                64.8萬
                            ","
31.46坪
                            ","
8~8/13                            ","
5.1年
                            ","
無                            "
"185","
                                內湖區文德路66巷1-30號
                                    
                                    格局：3房(室)2廳1衛","
                                    華廈
                            ","
                                1,610萬","
                                42.6萬
                            ","
37.75坪
                            ","
2~2/7                            ","
32.4年
                            ","
無                            "
"186","
                                文山區興隆路四段109巷121-150號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                2,250萬
                                                (含車位)
                            ","
                                42.7萬
                            ","
52.67坪
                                        
                                                    (含車位坪數)
                            ","
2~2/13                            ","
2.7年
                            ","
有                            "
"187","
                                信義區忠孝東路五段703巷1弄1-30號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
公寓                            ","
                                2,029萬","
                                69.9萬
                            ","
29.02坪
                            ","
1~1/4                            ","
41.7年
                            ","
無                            "
"188","
                                信義區忠孝東路五段781-810號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                985萬","
                                77.9萬
                            ","
12.64坪
                            ","
6~6/13                            ","
9.4年
                            ","
無                            "
"189","
                                信義區忠孝東路五段31巷18弄31-60號
                                    
                                    格局：3房(室)2廳1衛
                                        (加蓋格局：3房(室)2廳1衛)
                            ","
公寓                            ","
                                2,050萬","
                                63.2萬
                            ","
32.44坪
                            ","
5~5/5                            ","
33.9年
                            ","
無                            "
"190","
                                大同區重慶北路三段136巷1-30號
                                    
                                    格局：2房(室)2廳2衛
                                        (加蓋格局：2房(室)2廳1衛)
                            ","
公寓                            ","
                                920萬","
                                50.5萬
                            ","
18.20坪
                            ","
5~5/5                            ","
36.8年
                            ","
無                            "
"191","
                                萬華區成都路91-120號
                                    
                                    格局：1房(室)0廳1衛","
套房                            ","
                                250萬","
                                46.7萬
                            ","
5.35坪
                            ","
7~7/11                            ","
20.4年
                            ","
無                            "
"192","
                                內湖區文湖街31-60號
                                    
                                    格局：4房(室)2廳3衛","
大樓                            ","
                                6,660萬
                                                (含車位500萬)
                            ","
                                67.8萬
                            ","
107.23坪
                                        
                                                    (含車位16.37坪)
                            ","
11~11/15                            ","
5.5年
                            ","
有                            "
"193","
                                文山區萬芳路1-30號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
大樓                            ","
                                1,310萬","
                                47.3萬
                            ","
27.70坪
                            ","
6~6/12                            ","
11.5年
                            ","
無                            "
"194","
                                文山區萬芳路105巷31-60號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                2,150萬
                                                (含車位)
                            ","
                                53.0萬
                            ","
40.56坪
                                        
                                                    (含車位坪數)
                            ","
10~10/12                            ","
20.2年
                            ","
有                            "
"195","
                                文山區萬芳路1-30號
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                1,800萬
                                                (含車位200萬)
                            ","
                                44.5萬
                            ","
47.40坪
                                        
                                                    (含車位11.46坪)
                            ","
2~2/12                            ","
11.2年
                            ","
有                            "
"196","
                                文山區萬芳路31-60號
                                    
                                    格局：1房(室)2廳1衛","
                                    華廈
                            ","
                                1,430萬
                                                (含車位200萬)
                            ","
                                56.3萬
                            ","
27.29坪
                                        
                                                    (含車位5.45坪)
                            ","
7~7/7                            ","
8.7年
                            ","
有                            "
"197","
                                萬華區漢口街二段31-60號
                                    
                                    格局：1房(室)0廳1衛","
套房                            ","
                                850萬","
                                63.0萬
                            ","
13.49坪
                            ","
3~3/15                            ","
4.0年
                            ","
無                            "
"198","
                                中山區新生北路三段56巷1-30號
                                    
                                    格局：2房(室)2廳1衛","
大樓                            ","
                                2,000萬
                                                (含車位250萬)
                            ","
                                75.2萬
                            ","
35.88坪
                                        
                                                    (含車位12.62坪)
                            ","
6~6/13                            ","
6.6年
                            ","
有                            "
"199","
                                北投區致遠一路二段26巷1-30號
                                    
                                    格局：3房(室)2廳1衛
                                        (加蓋格局：2房(室)2廳1衛)
                            ","
公寓                            ","
                                1,488萬","
                                49.8萬
                            ","
29.87坪
                            ","
3~3/3                            ","
44.7年
                            ","
無                            "
"200","
                                文山區指南路三段32巷1-30號
                                    
                                    格局：1房(室)1廳1衛","
套房                            ","
                                520萬","
                                57.8萬
                            ","
9.00坪
                            ","
9~9/10                            ","
5.8年
                            ","
無                            "
"201","
                                中山區復興北路430巷31-60號
                                    
                                    格局：2房(室)2廳2衛","
                                    華廈
                            ","
                                2,818萬","
                                73.0萬
                            ","
38.61坪
                            ","
3~3/7                            ","
35.3年
                            ","
無                            "
"202","
                                文山區興隆路三段185巷11弄1-30號
                                    
                                    格局：3房(室)2廳1.5衛","
公寓                            ","
                                1,288萬","
                                46.0萬
                            ","
27.98坪
                            ","
1~1/5                            ","
32.8年
                            ","
無                            "
"203","
                                信義區莊敬路391-420號
                                    
                                    格局：3房(室)2廳1衛","
公寓                            ","
                                1,680萬","
                                57.1萬
                            ","
29.43坪
                            ","
4~4/4                            ","
43.9年
                            ","
無                            "
"204","
                                文山區辛亥路五段61-90號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                1,420萬","
                                43.2萬
                            ","
32.87坪
                            ","
5~5/7                            ","
32.9年
                            ","
無                            "
"205","
                                南港區昆陽街60巷1-30號
                                    
                                    格局：0房(室)0廳2衛","
                                    華廈
                            ","
                                2,168萬","
                                45.1萬
                            ","
48.09坪
                            ","
5~5/8                            ","
22.8年
                            ","
無                            "
"206","
                                信義區松山路204巷1-30號
                                    
                                    格局：4房(室)2廳2衛","
大樓                            ","
                                3,175萬","
                                72.1萬
                            ","
44.03坪
                            ","
15~15/16                            ","
28.9年
                            ","
無                            "
"207","
                                信義區松山路287巷6弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                1,230萬","
                                53.6萬
                            ","
22.96坪
                            ","
4~4/4                            ","
43.8年
                            ","
無                            "
"208","
                                信義區松山路465巷2弄1-30號
                                    
                                    格局：3房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳1衛)
                            ","
公寓                            ","
                                1,620萬","
                                54.6萬
                            ","
29.66坪
                            ","
2~2/4                            ","
40.2年
                            ","
無                            "
"209","
                                中山區明水路631-660號
                                    
                                    格局：0房(室)0廳1衛","
套房                            ","
                                1,150萬","
                                76.7萬
                            ","
14.99坪
                            ","
2~2/9                            ","
9.1年
                            ","
無                            "
"210","
                                中山區明水路526巷31-60號
                                    
                                    格局：4房(室)2廳3衛","
                                    華廈
                            ","
                                7,900萬
                                                (含車位600萬)
                            ","
                                106.2萬
                            ","
97.66坪
                                        
                                                    (含車位28.93坪)
                            ","
8~8/8                            ","
9.6年
                            ","
有                            "
"211","
                                中山區明水路397巷19弄1-30號
                                    
                                    格局：2房(室)2廳2衛","
大樓                            ","
                                2,680萬","
                                94.5萬
                            ","
28.36坪
                            ","
3~3/12                            ","
17.3年
                            ","
無                            "
"212","
                                信義區信安街103巷1-30號
                                    
                                    格局：2房(室)4廳2衛","
                                    華廈
                            ","
                                4,200萬
                                                (含車位450萬)
                            ","
                                64.1萬
                            ","
82.36坪
                                        
                                                    (含車位23.88坪)
                            ","
1~1/5                            ","
2.5年
                            ","
有                            "
"213","
                                文山區景福街121-150號
                                    
                                    格局：2房(室)2廳1衛","
                                    華廈
                            ","
                                1,550萬","
                                58.5萬
                            ","
26.51坪
                            ","
2~2/7                            ","
4.9年
                            ","
無                            "
"214","
                                內湖區文湖街60巷31-60號
                                    
                                    格局：2房(室)2廳2衛","
                                    華廈
                            ","
                                2,325萬","
                                57.8萬
                            ","
40.25坪
                            ","
4~4/7                            ","
4.9年
                            ","
無                            "
"215","
                                內湖區文湖街21巷82弄31-60號
                                    
                                    格局：1房(室)2廳2衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
                                    華廈
                            ","
                                1,485萬","
                                46.1萬
                            ","
32.18坪
                            ","
1~1/6                            ","
12.0年
                            ","
無                            "
"216","
                                北投區中央北路三段40巷34弄1-30號
                                    
                                    格局：2房(室)2廳1衛","
                                    華廈
                            ","
                                1,168萬
                                                (含車位120萬)
                            ","
                                46.8萬
                            ","
27.88坪
                                        
                                                    (含車位5.47坪)
                            ","
2~2/9                            ","
5.8年
                            ","
有                            "
"217","
                                中山區北安路588巷1-30號
                                    
                                    格局：1房(室)1廳1衛","
                                    華廈
                            ","
                                1,945萬
                                                (含車位180萬)
                            ","
                                76.7萬
                            ","
31.89坪
                                        
                                                    (含車位8.87坪)
                            ","
1~1/5                            ","
18.2年
                            ","
有                            "
"218","
                                士林區德行東路203巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,935萬","
                                53.9萬
                            ","
35.92坪
                            ","
2~2/5                            ","
36.9年
                            ","
無                            "
"219","
                                士林區德行東路104巷9弄1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,570萬","
                                50.6萬
                            ","
31.02坪
                            ","
2~2/5                            ","
34.1年
                            ","
無                            "
"220","
                                北投區明德路38巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                4,250萬
                                                (含車位400萬)
                            ","
                                70.1萬
                            ","
68.81坪
                                        
                                                    (含車位13.87坪)
                            ","
6~6/9                            ","
1.4年
                            ","
有                            "
"221","
                                北投區明德路271-300號
                                    
                                    格局：4房(室)2廳2衛","
                                    華廈
                            ","
                                2,250萬","
                                46.2萬
                            ","
48.70坪
                            ","
2~2/7                            ","
35.9年
                            ","
無                            "
"222","
                                大安區和平東路一段151-180號
                                    
                                    格局：2房(室)1廳1衛","
套房                            ","
                                1,230萬","
                                86.0萬
                            ","
14.30坪
                            ","
10~10/12                            ","
33.8年
                            ","
無                            "
"223","
                                大安區和平東路一段151-180號
                                    
                                    格局：3房(室)2廳1衛","
大樓                            ","
                                2,150萬","
                                81.7萬
                            ","
26.31坪
                            ","
4~4/11                            ","
38.5年
                            ","
無                            "
"224","
                                文山區政大三街1-30號
                                    
                                    格局：3房(室)2廳1.5衛","
                                    華廈
                            ","
                                1,390萬
                                                (含車位)
                            ","
                                35.5萬
                            ","
39.10坪
                                        
                                                    (含車位坪數)
                            ","
3~3/5                            ","
20.6年
                            ","
有                            "
"225","
                                中山區龍江路356巷31-60號
                                    
                                    格局：3房(室)1廳3衛","
公寓                            ","
                                1,208萬","
                                45.3萬
                            ","
26.64坪
                            ","
5~5/5                            ","
38.1年
                            ","
無                            "
"226","
                                南港區研究院路三段14巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                1,680萬","
                                34.8萬
                            ","
48.23坪
                            ","
2~2/9                            ","
12.6年
                            ","
無                            "
"227","
                                松山區復興北路481-510號
                                    
                                    格局：0房(室)1廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
套房                            ","
                                689萬","
                                74.5萬
                            ","
9.25坪
                            ","
2~2/11                            ","
9.4年
                            ","
無                            "
"228","
                                中山區吉林路456巷1-30號
                                    
                                    格局：2房(室)2廳1衛","
公寓                            ","
                                1,335萬","
                                49.5萬
                            ","
26.95坪
                            ","
3~0/5                            ","
31.8年
                            ","
無                            "
"229","
                                文山區樟新街
                                    
                                    格局：3房(室)2廳2衛","
大樓                            ","
                                1,750萬
                                                (含車位)
                            ","
                                32.5萬
                            ","
53.80坪
                                        
                                                    (含車位坪數)
                            ","
3~0/16                            ","
21.4年
                            ","
有                            "
"230","
                                中山區吉林路361-390號
                                    
                                    格局：2房(室)2廳1衛","
                                    華廈
                            ","
                                1,200萬","
                                51.4萬
                            ","
23.33坪
                            ","
3~3/7                            ","
36.5年
                            ","
無                            "
"231","
                                中山區民權東路一段31-60號
                                    
                                    格局：1房(室)1廳1衛","
大樓                            ","
                                920萬
                                                (含車位)
                            ","
                                61.8萬
                            ","
14.88坪
                                        
                                                    (含車位坪數)
                            ","
10~10/12                            ","
8.6年
                            ","
有                            "
"232","
                                信義區光復南路511-540號
                                    
                                    格局：0房(室)2廳1衛","
大樓                            ","
                                1,100萬","
                                90.4萬
                            ","
12.17坪
                            ","
10~10/13                            ","
15.6年
                            ","
無                            "
"233","
                                信義區吳興街364巷1-30號
                                    
                                    格局：3房(室)2廳1.5衛","
公寓                            ","
                                2,010萬","
                                57.6萬
                            ","
34.89坪
                            ","
1~1/5                            ","
32.0年
                            ","
無                            "
"234","
                                文山區木新路三段339巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
公寓                            ","
                                1,010萬","
                                41.8萬
                            ","
24.19坪
                            ","
5~0/5                            ","
31.4年
                            ","
無                            "
"235","
                                北投區裕民一路41巷2弄1-30號
                                    
                                    格局：3房(室)2廳2衛
                                        (加蓋格局：0房(室)0廳1衛)
                            ","
公寓                            ","
                                1,690萬","
                                58.0萬
                            ","
29.14坪
                            ","
1~1/5                            ","
36.6年
                            ","
無                            "
"236","
                                信義區嘉興街181巷1-30號
                                    
                                    格局：3房(室)2廳2衛","
                                    華廈
                            ","
                                2,480萬","
                                64.0萬
                            ","
38.77坪
                            ","
4~4/7                            ","
24.5年
                            ","
無                            "
"237","
                                士林區福港街1-30號
                                    
                                    格局：2房(室)2廳1衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
公寓                            ","
                                970萬","
                                50.7萬
                            ","
19.14坪
                            ","
3~3/5                            ","
31.4年
                            ","
無                            "
"238","
                                文山區育英街45巷1-30號
                                    
                                    格局：2房(室)2廳2.5衛
                                        (加蓋格局：1房(室)0廳0衛)
                            ","
                                    華廈
                            ","
                                3,560萬
                                                (含車位)
                            ","
                                52.5萬
                            ","
67.86坪
                                        
                                                    (含車位坪數)
                            ","
5~6/6                            ","
21.8年
                            ","
有                            "
